,DinoJumpVelocity,DinoJumping,DinoJumpspotX,DinoMidair,DinoMinJumpHeight,DinoReachedMinHeight,DinoSpeedDrop,DinoSpritePosX,DinoSpritePosY,DinoStatus,DinoXPos,DinoYPos,ObstacleDimHeight_0,ObstacleDimHeight_1,ObstacleDimHeight_2,ObstacleDimWidth_0,ObstacleDimWidth_1,ObstacleDimWidth_2,ObstacleGapCoefficient_0,ObstacleGapCoefficient_1,ObstacleGapCoefficient_2,ObstacleGap_0,ObstacleGap_1,ObstacleGap_2,ObstacleSpritePosX_0,ObstacleSpritePosX_1,ObstacleSpritePosX_2,ObstacleSpritePosY_0,ObstacleSpritePosY_1,ObstacleSpritePosY_2,ObstacleTypeConfigHeight_0,ObstacleTypeConfigHeight_1,ObstacleTypeConfigHeight_2,ObstacleTypeConfigMinGap_0,ObstacleTypeConfigMinGap_1,ObstacleTypeConfigMinGap_2,ObstacleTypeConfigMinSpeed_0,ObstacleTypeConfigMinSpeed_1,ObstacleTypeConfigMinSpeed_2,ObstacleTypeConfigMultipleSpeed_0,ObstacleTypeConfigMultipleSpeed_1,ObstacleTypeConfigMultipleSpeed_2,ObstacleTypeConfigType_0,ObstacleTypeConfigType_1,ObstacleTypeConfigType_2,ObstacleTypeConfigWidth_0,ObstacleTypeConfigWidth_1,ObstacleTypeConfigWidth_2,ObstacleTypeConfigYPos_0,ObstacleTypeConfigYPos_1,ObstacleTypeConfigYPos_2,ObstacleWidth_0,ObstacleWidth_1,ObstacleWidth_2,ObstacleXPos_0,ObstacleXPos_1,ObstacleXPos_2,ObstacleYPos_0,ObstacleYPos_1,ObstacleYPos_2,RunnerCurrentSpeed,frame_ts,key_pressed,key_event_type
39,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,DUCKING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.323000000000108,1549808473.3048162,,
40,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,DUCKING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.3250000000001085,1549808473.322193,,
41,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,DUCKING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.327000000000109,1549808473.340103,,
42,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,DUCKING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.32900000000011,1549808473.3587708,,
43,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,DUCKING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.3310000000001105,1549808473.376676,,
44,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,DUCKING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.333000000000111,1549808473.393879,,
45,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,DUCKING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.335000000000112,1549808473.411671,,
46,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,DUCKING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.3370000000001125,1549808473.4299269,40,Up
47,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,RUNNING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.339000000000113,1549808473.447781,,
48,0.0,False,0.0,False,63.0,True,False,1678.0,2.0,RUNNING,24.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,,,,,,,,,,,,,,,,6.341000000000114,1549808473.465547,,
